@relation ncaa

@attribute name string
@attribute year string
@attribute seed integer
@attribute record real
@attribute conference integer
@attribute rpi real
@attribute finish real
@attribute ppg real
@attribute rpg real
@attribute apg real
@attribute spg real
@attribute bpg real
@attribute tpg real
@attribute fgp real
@attribute ftp real
@attribute tpp real

@data
'Kansas',				2014,	2,	.7273,	1,	.656,	2,	80,	38,	15,	6,	6,	13,	.495,	.711,	.345
'E Kentucky',			2014,	15,	.7273,	0,	.537,	1,	79,	26,	15,	9,	2,	11,	.490,	.751,	.390
'Virginia',				2014,	1,	.8235,	1,	.633,	3,	66,	35,	13,	5,	4,	10,	.453,	.664,	.363
'Coast Carolina',		2014,	16,	.6364,	0,	.485,	1,	73,	40,	11,	6,	3,	14,	.438,	.694,	.333
'Memphis',				2014,	8,	.7188,	0,	.595,	2,	78,	38,	17,	9,	5,	13,	.479,	.649,	.335
'George Washington',	2014,	9,	.750,	0,	.601,	1,	73,	37,	14,	7,	4,	13,	.464,	.654,	.369
'Cincinatti',			2014,	5,	.8182,	1,	.612,	1,	69,	36,	13,	8,	6,	11,	.427,	.709,	.335
'Harvard',				2014,	12,	.8667,	0,	.578,	2,	74,	34,	15,	8,	5,	11,	.467,	.726,	.387
'Michigan St',			2014,	4,	.7647,	1,	.616,	4,	76,	37,	17,	7,	5,	11,	.474,	.690,	.398
'Delaware',				2014,	13,	.7353,	0,	.559,	1,	80,	36,	11,	6,	4,	10,	.446,	.709,	.345
'North Carolina',		2014,	6,	.7188,	1,	.606,	2,	76,	40,	16,	7,	5,	12,	.463,	.625,	.336
'Providence',			2014,	11,	.6765,	1,	.582,	1,	73,	37,	14,	6,	5,	12,	.425,	.781,	.350
'Iowa State',			2014,	3,	.7879,	1,	.634,	3,	83,	39,	19,	6,	3,	11,	.471,	.694,	.351
'NC Central',			2014,	14,	.8485,	0,	.535,	1,	74,	36,	15,	8,	4,	12,	.462,	.727,	.338
'Connecticut',			2014,	7,	.7647,	1,	.609,	7,	72,	35,	13,	7,	6,	12,	.448,	.761,	.387
'St Joseph',			2014,	10,	.7273,	0,	.594,	1,	71,	36,	14,	5,	5,	12,	.468,	.644,	.381
'Villanova',			2014,	2,	.8750,	0,	.641,	2,	79,	37,	16,	7,	4,	12,	.459,	.713,	.361
'Milwaukee',			2014,	15,	.6176,	0,	.517,	1,	71,	34,	14,	6,	2,	13,	.433,	.734,	.327
'Arizona',				2014,	1,	.8824,	1,	.673,	4,	73,	39,	15,	6,	4,	10,	.468,	.655,	.356
'Weber State',			2014,	16,	.6333,	0,	.507,	1,	73,	34,	13,	4,	4,	12,	.481,	.737,	.392
'Gonzaga',				2014,	8,	.8235,	0,	.618,	2,	77,	36,	15,	7,	4,	11,	.498,	.710,	.394
'Oklahoma State',		2014,	9,	.6364,	1,	.582,	1,	80,	35,	14,	8,	5,	10,	.465,	.724,	.368
'Oklahoma',				2014,	5,	.7188,	1,	.608,	1,	82,	38,	15,	7,	3,	11,	.451,	.750,	.378
'ND State',				2014,	12,	.8065,	0,	.598,	2,	76,	33,	12,	6,	4,	10,	.509,	.747,	.367
'San Diego St',			2014,	4,	.8788,	0,	.625,	3,	71,	38,	10,	8,	5,	10,	.437,	.653,	.358
'New Mexico St',		2014,	13,	.7429,	0,	.561,	1,	77,	37,	13,	5,	6,	13,	.491,	.688,	.373
'Baylor',				2014,	6,	.6857,	1,	.602,	3,	75,	39,	15,	5,	6,	12,	.455,	.673,	.390
'Nebraska',				2014,	11,	.6129,	1,	.579,	1,	67,	33,	10,	7,	3,	11,	.427,	.719,	.339
'Creighton',			2014,	3,	.7879,	0,	.633,	2,	80,	34,	18,	4,	1,	10,	.499,	.752,	.421
'UL Lafayette',			2014,	14,	.6765,	0,	.545,	1,	81,	38,	14,	7,	4,	14,	.469,	.673,	.368
'Oregon',				2014,	7,	.7188,	1,	.607,	2,	82,	34,	14,	8,	3,	12,	.468,	.766,	.392
'BYU',					2014,	10,	.6765,	0,	.601,	1,	84,	41,	16,	7,	3,	11,	.467,	.690,	.359
'Wisconsin',			2014,	2,	.7879,	1,	.642,	5,	74,	33,	12,	5,	4,	8,	.458,	.744,	.373
'American',				2014,	15,	.6250,	0,	.524,	1,	64,	30,	15,	6,	3,	14,	.495,	.710,	.382
'Wichita State',		2014,	1,	1.000,	0,	.652,	2,	75,	39,	14,	7,	5,	10,	.459,	.730,	.348
'Cal Poly',				2014,	16,	.4242,	0,	.479,	1,	63,	32,	12,	6,	3,	9,	.410,	.693,	.339
'Kentucky',				2014,	8,	.7059,	1,	.620,	6,	76,	41,	12,	5,	6,	12,	.454,	.679,	.326
'Kansas State',			2014,	9,	.6250,	1,	.577,	1,	70,	36,	15,	6,	3,	12,	.436,	.658,	.334
'Saint Louis',			2014,	5,	.8125,	0,	.607,	2,	70,	36,	14,	7,	4,	13,	.443,	.708,	.319
'NC State',				2014,	12,	.6286,	1,	.572,	1,	71,	34,	13,	5,	4,	10,	.461,	.663,	.302
'Louisville',			2014,	4,	.8529,	1,	.619,	3,	82,	38,	16,	10,	5,	10,	.474,	.659,	.371
'Manhattan',			2014,	13,	.7813,	0,	.569,	1,	77,	38,	13,	8,	6,	14,	.451,	.662,	.367
'Massachusetts',		2014,	6,	.7500,	0,	.614,	1,	76,	39,	15,	7,	6,	14,	.460,	.682,	.347
'Tennessee',			2014,	11,	.6364,	1,	.585,	3,	71,	39,	13,	5,	5,	11,	.447,	.710,	.336
'Duke',					2014,	3,	.7647,	1,	.637,	1,	79,	34,	15,	7,	3,	10,	.466,	.727,	.391
'Mercer',				2014,	14,	.7647,	0,	.555,	2,	79,	38,	16,	6,	4,	12,	.475,	.732,	.384
'Texas',				2014,	7,	.6970,	1,	.596,	2,	74,	42,	13,	6,	6,	12,	.431,	.664,	.324
'Arizona St',			2014,	10,	.6563,	1,	.583,	1,	75,	36,	14,	5,	6,	11,	.450,	.694,	.386
'Michigan',				2014,	2,	.7576,	1,	.633,	4,	75,	32,	14,	5,	3,	9,	.481,	.757,	.398
'Wofford',				2014,	15,	.6250,	0,	.505,	1,	68,	33,	13,	6,	2,	11,	.451,	.663,	.371
'Louisville',			2013,	1,	.8529,	1,	.6610,	7,	74,	38,	15,	11,	4,	13,	.445,	.711,	.331
'NCAT',					2013,	16,	.5429,	0,	.4692,	1,	62,	35,	11,	7,	5,	15,	.399,	.658,	.299
'Colorado State',		2013,	8,	.7576,	0,	.6182,	2,	73,	40,	13,	5,	2,	11,	.448,	.713,	.332
'Missouri',				2013,	9,	.6970,	1,	.5980,	1,	76,	41,	14,	7,	4,	13,	.460,	.739,	.340
'Oklahoma State',		2013,	5,	.7500,	1,	.6085,	1,	72,	36,	12,	8,	5,	12,	.440,	.750,	.316
'Oregon',				2013,	12,	.7647,	1,	.5898,	3,	72,	37,	13,	9,	4,	15,	.447,	.710,	.323
'Saint Louis',			2013,	4,	.8182,	0,	.6223,	2,	69,	33,	13,	7,	3,	11,	.447,	.709,	.347
'New Mexico State',		2013,	13,	.7089,	0,	.5768,	1,	68,	38,	12,	6,	5,	14,	.461,	.656,	.320
'Memphis',				2013,	6,	.8824,	0,	.6283,	2,	76,	38,	17,	9,	6,	15,	.479,	.666,	.379
'Saint Marys',			2013,	11,	.8182,	0,	.6048,	1,	75,	37,	15,	6,	3,	12,	.474,	.726,	.375
'Michigan State',		2013,	3,	.7576,	1,	.6369,	3,	68,	37,	13,	8,	4,	13,	.460,	.717,	.342
'Valparaiso',			2013,	14,	.7879,	0,	.5730,	1,	72,	33,	14,	7,	3,	15,	.489,	.732,	.376
'Creighton',			2013,	7,	.7941,	0,	.6091,	2,	75,	35,	17,	5,	3,	12,	.508,	.750,	.421
'Cincinnati',			2013,	10,	.6667,	1,	.5852,	1,	67,	40,	12,	7,	6,	13,	.402,	.649,	.317
'Duke',					2013,	2,	.8438,	1,	.6724,	4,	78,	34,	15,	7,	4,	11,	.476,	.732,	.406
'Albany',				2013,	15,	.7059,	0,	.5201,	1,	64,	34,	11,	5,	2,	13,	.438,	.734,	.364
'Gonzaga',				2013,	1,	.9394,	0,	.6439,	2,	78,	37,	15,	8,	3,	11,	.504,	.707,	.371
'Southern',				2013,	16,	.7188,	0,	.4944,	1,	68,	35,	11,	8,	4,	11,	.434,	.690,	.362
'Pittsburgh',			2013,	8,	.7500,	1,	.5904,	1,	70,	35,	17,	7,	4,	11,	.475,	.664,	.360
'Wichita State',		2013,	9,	.7647,	0,	.5960,	5,	69,	38,	14,	7,	4,	13,	.443,	.688,	.337
'Wisconsin',			2013,	5,	.6765,	1,	.6036,	1,	66,	37,	13,	6,	4,	10,	.426,	.635,	.338
'Ole Miss',				2013,	12,	.7647,	1,	.5898,	2,	78,	39,	13,	8,	5,	11,	.438,	.684,	.331
'Kansas State',			2013,	4,	.7941,	1,	.6177,	1,	69,	35,	16,	7,	4,	12,	.436,	.689,	.363
'La Salle',				2013,	13,	.7000,	0,	.5900,	3,	72,	32,	14,	8,	4,	12,	.448,	.738,	.371
'Arizona',				2013,	6,	.7813,	1,	.6247,	3,	73,	36,	14,	7,	4,	13,	.450,	.748,	.363
'Belmont',				2013,	11,	.8125,	0,	.6181,	1,	77,	32,	16,	10,	3,	14,	.494,	.733,	.386
